"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"25","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","de vrais bons crayons  papier solides et durables","jeanmarc","on trouve de tout en crayon  papier  tous les prix ces crayons ne sont pas les moins chers que lon puisse trouver mais le prix est plus que largement compens par leur qualit ces crayons sont solides tant la partie bois que la parie graphite si ils tombent la mine intrieure ne casse pas comme cest le cas sur les crayons bas de gamme lors de la taille le bois est proprement coup par la lame du taille crayon au lieu dtre dchiquet comme cest le cas aussi avec les produits bas de gamme le graphite utilis est de qualit permettant un taillage pointu ou plus rond la qualit dcriture est bien l a ne bave pas on ralise des tracs prcisidal aussi bien pour les adultes que pour les enfants qui ont tendance  les faire tomber frquemment et  les tailler souvent ",2016-02-12,5,"verified purchase"
"26","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","molto soddisfatto","aniello pagnotta","staedtler sinonimo di garanzia se si aggiunge il prezzo assolutamente inferiore a quanto trovato altrove la ricerca del materiale scolastico per il disegno non pu che ricadere su questo marchio",2023-12-13,5,"verified purchase"
"27","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","qualit e prezzo","rosy","ottime matite acquistate ad un buon prezzo",2019-10-10,5,"verified purchase"
"28","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","garanzia di qualit","aniello pagnotta","non  la prima volta che acquisto per mia figlia questo set di disegno staedtler e non posso dire altro che  come sempre una garanzia far cadere la propria scelta su questo marchio a questo si aggiunge il prezzo assolutamente inferiore a quanto trovato altrove che per i continui acquisti richiesti per il materiale scolastico non  da sottovalutare",2023-12-13,4,"verified purchase"
"29","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","love the quality ","lise","always love these pencils dont get them here in canada appreciate that the booghe store carries them and has quick reliable service",2021-03-14,5,"verified purchase"
"30","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","criture fluide","levasseur","top mon fils qui est au cp crit bien mieux avec ce genre de crayon quavec les standards achets prcdemment en commerce",2021-03-26,5,"verified purchase"
"31","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","produto de tima qualidade","fernando lus pinto","gaitei muito da qualidade dos lpis borracha e principalmente o apontador",2022-01-16,4,"verified purchase"
"32","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","trs bien","kakou","ma fille est ravie conforme  ce quelle souhaitais",2023-05-11,5,"verified purchase"
"33","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black"," una matita","frozenfrz","sempre una garanzia usata per disegno tecnico scuola",2023-12-17,5,"verified purchase"
"34","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","buen material y buena marca","hugo bargiela gonzlez","buenos lpices y buena relacin calidad precio",2023-09-20,5,"verified purchase"
